,Artist,decade,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
Denzel Curry,Denzel Curry,2010s,nigga bitch fuck float feel aint take ima make walk big put em want keep see one wanna pocket pain,nigga,bitch,fuck,float,feel,aint,take,ima,make,walk,big,put,em,want,keep,see,one,wanna,pocket,pain,1.0,0.41081081081081083,0.34054054054054056,0.33513513513513515,0.31351351351351353,0.3027027027027027,0.24324324324324326,0.23243243243243245,0.21081081081081082,0.21081081081081082,0.2,0.1945945945945946,0.1945945945945946,0.1945945945945946,0.1945945945945946,0.1891891891891892,0.1837837837837838,0.1837837837837838,0.1837837837837838,0.1783783783783784
Earl Sweatshirt,Earl Sweatshirt,2010s,nigga bitch fuck shit em got back aint see tell bitches fucking one time might face go rap uh right,nigga,bitch,fuck,shit,em,got,back,aint,see,tell,bitches,fucking,one,time,might,face,go,rap,uh,right,1.0,0.38513513513513514,0.34459459459459457,0.3310810810810811,0.3310810810810811,0.3310810810810811,0.2972972972972973,0.27702702702702703,0.19594594594594594,0.16891891891891891,0.16891891891891891,0.16216216216216217,0.14864864864864866,0.14864864864864866,0.14189189189189189,0.13513513513513514,0.11486486486486487,0.10810810810810811,0.10810810810810811,0.10135135135135136
Freddie Gibbs,Freddie Gibbs,2010s,nigga got shit bitch aint ima lot fuck never take one might man time gon dope us day em make,nigga,got,shit,bitch,aint,ima,lot,fuck,never,take,one,might,man,time,gon,dope,us,day,em,make,1.0,0.4540682414698163,0.2755905511811024,0.2283464566929134,0.1942257217847769,0.16535433070866143,0.15748031496062992,0.13910761154855644,0.13123359580052493,0.10761154855643044,0.09186351706036745,0.09186351706036745,0.08923884514435695,0.08923884514435695,0.08923884514435695,0.08661417322834646,0.08661417322834646,0.08398950131233596,0.08136482939632546,0.07874015748031496
Kendrick Lamar,Kendrick Lamar,2010s,nigga got bitch love hol fuck back life tell gon one want wanna go black shit way aint say see,nigga,got,bitch,love,hol,fuck,back,life,tell,gon,one,want,wanna,go,black,shit,way,aint,say,see,1.0,0.7333333333333333,0.5933333333333334,0.48,0.43333333333333335,0.38666666666666666,0.37333333333333335,0.36,0.36,0.35333333333333333,0.3466666666666667,0.34,0.3333333333333333,0.32,0.32,0.31333333333333335,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664
Pusha T,Pusha T,2010s,nigga got aint might money mind go drug see come still trust one dope right shit bitch baby back fuck,nigga,got,aint,might,money,mind,go,drug,see,come,still,trust,one,dope,right,shit,bitch,baby,back,fuck,1.0,0.46296296296296297,0.39814814814814814,0.3888888888888889,0.35185185185185186,0.3148148148148148,0.3055555555555556,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25,0.25,0.24074074074074073,0.24074074074074073,0.23148148148148148,0.2222222222222222,0.21296296296296297,0.21296296296296297
Run The Jewels,Run The Jewels,2010s,kill run got jewel la shit fuck oui ayy might say yall day love master live take ooh look man,kill,run,got,jewel,la,shit,fuck,oui,ayy,might,say,yall,day,love,master,live,take,ooh,look,man,1.0,0.8803418803418803,0.6324786324786325,0.6153846153846154,0.4700854700854701,0.4358974358974359,0.42735042735042733,0.37606837606837606,0.3418803418803419,0.3162393162393162,0.3076923076923077,0.2905982905982906,0.28205128205128205,0.27350427350427353,0.27350427350427353,0.27350427350427353,0.26495726495726496,0.26495726495726496,0.23931623931623933,0.23931623931623933
Travis Scott,Travis Scott,2010s,nigga got night fen fuck lets ooh trill aint drunk friend call bitch shit ayy club keep late back want,nigga,got,night,fen,fuck,lets,ooh,trill,aint,drunk,friend,call,bitch,shit,ayy,club,keep,late,back,want,1.0,0.7521367521367521,0.6752136752136753,0.5897435897435898,0.5641025641025641,0.49572649572649574,0.48717948717948717,0.47863247863247865,0.4358974358974359,0.4358974358974359,0.42735042735042733,0.42735042735042733,0.4188034188034188,0.41025641025641024,0.39316239316239315,0.36752136752136755,0.3504273504273504,0.3333333333333333,0.3247863247863248,0.3076923076923077
"Tyler, The Creator","Tyler, The Creator",2010s,fuck nigga four love shit time fucking wang got golf bitch call tell gone never boy one fuckin la okay,fuck,nigga,four,love,shit,time,fucking,wang,got,golf,bitch,call,tell,gone,never,boy,one,fuckin,la,okay,1.0,0.9714285714285714,0.5071428571428571,0.5,0.4714285714285714,0.4714285714285714,0.44285714285714284,0.42857142857142855,0.39285714285714285,0.37142857142857144,0.35,0.3142857142857143,0.3,0.3,0.2857142857142857,0.2785714285714286,0.2642857142857143,0.2571428571428571,0.2571428571428571,0.25
21 Savage,21 Savage,2020s,nigga got issa god shit aint bitch money straight gang ass lot pain numb many fuck night might new gon,nigga,got,issa,god,shit,aint,bitch,money,straight,gang,ass,lot,pain,numb,many,fuck,night,might,new,gon,1.0,0.5186567164179104,0.44776119402985076,0.4291044776119403,0.41044776119402987,0.373134328358209,0.3358208955223881,0.3283582089552239,0.3208955223880597,0.2873134328358209,0.23507462686567165,0.208955223880597,0.20149253731343283,0.1828358208955224,0.16791044776119404,0.16044776119402984,0.15298507462686567,0.13805970149253732,0.13059701492537312,0.13059701492537312
​billy woods,​billy woods,2020s,said time might one got back black never god em nigga new still man come high want make take see,said,time,might,one,got,back,black,never,god,em,nigga,new,still,man,come,high,want,make,take,see,1.0,0.5925925925925926,0.5185185185185185,0.46296296296296297,0.46296296296296297,0.4074074074074074,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.35185185185185186,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.2962962962962963,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.25925925925925924,0.25925925925925924
Drake,Drake,2020s,nigga got shit back love one go fuck real make say time need girl gotta never started way aint thing,nigga,got,shit,back,love,one,go,fuck,real,make,say,time,need,girl,gotta,never,started,way,aint,thing,1.0,0.8264462809917356,0.743801652892562,0.5950413223140496,0.512396694214876,0.4793388429752066,0.4380165289256198,0.3884297520661157,0.38016528925619836,0.36363636363636365,0.36363636363636365,0.35537190082644626,0.34710743801652894,0.34710743801652894,0.3140495867768595,0.2892561983471074,0.2892561983471074,0.2727272727272727,0.2727272727272727,0.2644628099173554
J. Cole,J. Cole,2020s,nigga got aint back love way time shit one want thing la go never see fuck eye wanna tell bitch,nigga,got,aint,back,love,way,time,shit,one,want,thing,la,go,never,see,fuck,eye,wanna,tell,bitch,1.0,0.5092592592592593,0.3611111111111111,0.35185185185185186,0.33796296296296297,0.3194444444444444,0.3148148148148148,0.3101851851851852,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2916666666666667,0.2916666666666667,0.28703703703703703,0.2777777777777778,0.2638888888888889,0.2361111111111111,0.2175925925925926,0.20833333333333334,0.19907407407407407
JID,JID,2020s,nigga shit aint got never fuck woah back swang really come uh look say need doo truth baby give ima,nigga,shit,aint,got,never,fuck,woah,back,swang,really,come,uh,look,say,need,doo,truth,baby,give,ima,1.0,0.8730964467005076,0.4416243654822335,0.41116751269035534,0.40609137055837563,0.27918781725888325,0.27918781725888325,0.26903553299492383,0.26903553299492383,0.2131979695431472,0.19796954314720813,0.19796954314720813,0.18781725888324874,0.18781725888324874,0.18781725888324874,0.18781725888324874,0.18274111675126903,0.17766497461928935,0.17258883248730963,0.17258883248730963
Lil Nas X,Lil Nas X,2020s,want say need call aint one nigga scoop go right see time love tell never ill wanna got take life,want,say,need,call,aint,one,nigga,scoop,go,right,see,time,love,tell,never,ill,wanna,got,take,life,1.0,0.8153846153846154,0.7384615384615385,0.6307692307692307,0.6307692307692307,0.6153846153846154,0.5846153846153846,0.5230769230769231,0.47692307692307695,0.46153846153846156,0.4461538461538462,0.4461538461538462,0.4461538461538462,0.4307692307692308,0.38461538461538464,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.3384615384615385,0.3230769230769231
Lil Uzi Vert,Lil Uzi Vert,2020s,got ayy aint bitch go girl nigga money want ooh right woah lil way shit back fuck said new boy,got,ayy,aint,bitch,go,girl,nigga,money,want,ooh,right,woah,lil,way,shit,back,fuck,said,new,boy,1.0,0.725,0.45,0.44,0.4,0.385,0.34,0.305,0.275,0.265,0.24,0.24,0.235,0.23,0.23,0.23,0.225,0.22,0.195,0.195
Little Simz,Little Simz,2020s,never love got life see wanna man lalalala time hate nigga will aint one feel might stop want shit day,never,love,got,life,see,wanna,man,lalalala,time,hate,nigga,will,aint,one,feel,might,stop,want,shit,day,1.0,0.9146341463414634,0.8048780487804879,0.7804878048780488,0.6585365853658537,0.6341463414634146,0.5853658536585366,0.5853658536585366,0.573170731707317,0.5609756097560976,0.4878048780487805,0.4634146341463415,0.43902439024390244,0.4268292682926829,0.4146341463414634,0.4024390243902439,0.4024390243902439,0.3902439024390244,0.32926829268292684,0.32926829268292684
Playboi Carti,Playboi Carti,2020s,bitch nigga uh ooh aint new got slatt go shit shawty love boy fuck choppa mad hold woah broke bout,bitch,nigga,uh,ooh,aint,new,got,slatt,go,shit,shawty,love,boy,fuck,choppa,mad,hold,woah,broke,bout,1.0,0.9467455621301775,0.8994082840236687,0.650887573964497,0.6331360946745562,0.6153846153846154,0.591715976331361,0.5680473372781065,0.5443786982248521,0.5325443786982249,0.5207100591715976,0.4970414201183432,0.46153846153846156,0.4319526627218935,0.4260355029585799,0.3254437869822485,0.30177514792899407,0.28994082840236685,0.28402366863905326,0.2781065088757396
Vince Staples,Vince Staples,2020s,right love back never real wanna lift bitch come boy nigga fuck aint better got rain need shit round life,right,love,back,never,real,wanna,lift,bitch,come,boy,nigga,fuck,aint,better,got,rain,need,shit,round,life,1.0,0.7704918032786885,0.5901639344262295,0.5163934426229508,0.4262295081967213,0.4262295081967213,0.4180327868852459,0.4098360655737705,0.39344262295081966,0.38524590163934425,0.36885245901639346,0.36885245901639346,0.3114754098360656,0.30327868852459017,0.28688524590163933,0.27049180327868855,0.26229508196721313,0.23770491803278687,0.22950819672131148,0.22950819672131148
